"Airport Name","latitude_deg","longitude_deg","iata_code","","City Name","lat","lng"
"Indira Gandhi International Airport","28.5665","77.103104","DEL","","Delhi","28.61","77.23"
"Chhatrapati Shivaji International Airport","19.08869934","72.86789703","BOM","","Mumbai","19.0761","72.8775"
"Kempegowda International Airport","13.1979","77.706299","BLR","","Kolkata","22.5675","88.37"
"Chennai International Airport","12.99000549","80.16929626","MAA","","Bangalore","12.9789","77.5917"
"Dabolim Airport","15.38080025","73.83139801","GOI","","Chennai","13.0825","80.275"
"Cochin International Airport","10.152","76.401901","COK","","Hyderabad","17.3617","78.4747"
"Netaji Subhash Chandra Bose International Airport","22.65469933","88.44670105","CCU","","Pune","18.5203","73.8567"
"Rajiv Gandhi International Airport","17.23131752","78.42985535","HYD","","Ahmedabad","23.0225","72.5714"
"Trivandrum International Airport","8.48211956","76.92009735","TRV","","Surat","21.1702","72.8311"
"Sardar Vallabhbhai Patel International Airport","23.07719994","72.63469696","AMD","","Lucknow","26.85","80.95"
"Jaipur International Airport","26.8242","75.812202","JAI","","Jaipur","26.9","75.8"
"HAL Airport","18.58209991","73.91970062","PNQ","","Kanpur","26.4499","80.3319"
"Pune Airport","31.70960045","74.79730225","ATQ","","Mirzapur","25.146","82.569"
"Sri Guru Ram Dass Jee International Airport","22.336201","73.226303","BDQ","","Nagpur","21.1497","79.0806"
"Vadodara Airport","12.9612999","74.89009857","IXE","","Ghaziabad","28.67","77.42"
"Mangalore International Airport","17.4531002","78.46759796","BPM","","Supaul","26.126","86.605"
"Begumpet Airport","25.45240021","82.85929871","VNS","","Vadodara","22.3","73.2"
"Lal Bahadur Shastri Airport","11.13679981","75.95529938","CCJ","","Rajkot","22.3","70.7833"
"Calicut International Airport","20.24440002","85.81780243","BBI","","Vishakhapatnam","17.7042","83.2978"
"Biju Patnaik Airport","11.02999973","77.04340363","CJB","","Indore","22.7167","75.8472"
"Coimbatore International Airport","26.10610008","91.58589935","GAU","","Thane","19.1972","72.9722"
"Lokpriya Gopinath Bordoloi International Airport","25.59129906","85.08799744","PAT","","Bhopal","23.2599","77.4126"
"Lok Nayak Jayaprakash Airport","22.72179985","75.80110168","IDR","","Pimpri-Chinchwad","18.6186","73.8037"
"Devi Ahilyabai Holkar Airport","26.25110054","73.04889679","JDH","","Patna","25.594","85.1376"
"Jodhpur Airport","9.83450985","78.09339905","IXM","","Bilaspur","22.09","82.15"
"Madurai Airport","26.68120003","88.32859802","IXB","","Ludhiana","30.91","75.85"
"Bagdogra Airport","17.72120094","83.22450256","VTZ","","Agra","27.18","78.02"
"Vishakhapatnam Airport","26.76059914","80.88929749","LKO","","Madurai","9.9252","78.1198"
"Chaudhary Charan Singh International Airport","30.67350006","76.78849792","IXC","","Jamshedpur","22.7925","86.1842"
"Chandigarh Airport","21.1140995","72.7417984","STV","","Prayagraj","25.4358","81.8464"
"Surat Airport","11.64120007","92.72969818","IXZ","","Nasik","19.9975","73.7898"
"Juhu Aerodrome","21.180401","81.7388","RPR","","Faridabad","28.4211","77.3078"
"Vir Savarkar International Airport","33.98709869","74.77420044","SXR","","Meerut","28.98","77.71"
"Raipur Airport","21.09219933","79.04720306","NAG","","Jabalpur","23.1667","79.9333"
"Sheikh ul Alam Airport","24.61770058","73.89610291","UDR","","Kalyan","19.2502","73.1602"
"Dr. Babasaheb Ambedkar International Airport","19.86269951","75.39810181","IXU","","Vasai-Virar","19.3607","72.7956"
"Maharana Pratap Airport","23.31430054","85.32170105","IXR","","Najafgarh","28.6092","76.9798"
"Aurangabad Airport","23.28779984","69.67019653","BHJ","","Varanasi","25.3189","83.0128"
"Birsa Munda Airport","16.53039932","80.79679871","VGA","","Srinagar","34.09","74.79"
"Bhuj Airport","23.88699913","91.24040222","IXA","","Aurangabad","19.88","75.32"
"Vijayawada Airport","26.73150063","94.17549896","JRH","","Dhanbad","23.7998","86.4305"
"Agartala Airport","14.14929962","77.79109955","PUT","","Amritsar","31.64","74.86"
"Jorhat Airport","22.30920029","70.77950287","RAJ","","Aligarh","27.88","78.08"
"Sri Sathya Sai Airport","23.28750038","77.33740234","BHO","","Guwahati","26.1722","91.7458"
"Darbhanga Airport","24.76000023","93.896698","IMF","","Haora","22.58","88.3294"
"Gondia Airport","22.46549988","70.01260376","JGA","","Ranchi","23.36","85.33"
"Rajkot Airport","34.13589859","77.54650116","IXL","","Gwalior","26.2124","78.1772"
"Raja Bhoj International Airport","17.11039925","81.81819916","RJA","","Chandigarh","30.75","76.78"
"Imphal Airport","13.63249969","79.54329681","TIR","","Haldwani","29.22","79.52"
"Jamnagar Airport","27.48390007","95.01689911","DIB","","Vijayawada","16.5193","80.6305"
"Leh Kushok Bakula Rimpochee Airport","24.81719971","79.91860199","HJR","","Jodhpur","26.28","73.02"
"Rajahmundry Airport","31.87669945","77.15440369","KUU","","Raipur","21.2444","81.6306"
"Tirupati Airport","25.44009972","81.73390198","IXD","","Kota","25.18","75.83"
"Dibrugarh Airport","20.119101","73.912903","ISK","","Bareilly","28.364","79.415"
"Khajuraho Airport","10.76539993","78.70970154","TRZ","","Coimbatore","11.0167","76.9556"
"Kullu Manali Airport","32.68909836","74.83740234","IXJ","","Solapur","17.68","75.92"
"Ambala Air Force Station","15.85929966","74.61830139","IXG","","Hubli","15.3502","75.1376"
"Allahabad Airport","21.75219917","72.18520355","BHU","","Trichinopoly","10.7903","78.7047"
"Harihar Airport","26.70910072","92.78469849","TEZ","","Moradabad","28.8319","78.7764"
"Kalaikunda Air Force Station","24.74430084","84.95120239","GAY","","Tiruppur","11.1085","77.3411"
"Nashik Airport","23.17779922","80.05200195","JLR","","Gurgaon","28.456","77.029"
"Baramati Airport","30.189699","78.180298","DED","","Jalandhar","31.2569","75.4432"
"Tiruchirapally Civil Airport Airport","21.64870071","69.65720367","PBD","","Bhubaneshwar","20.2644","85.8281"
"Jammu Airport","24.91290092","92.97869873","IXS","","Bhayandar","19.29","72.85"
"Belgaum Airport","20.71310043","70.9210968","DIU","","Patiala","30.34","76.38"
"Bhavnagar Airport","15.36170006","75.0848999","HBX","","Shishgarh","28.72","79.32"
"Tezpur Airport","21.31710052","70.270401","IXK","","Thiruvananthapuram","8.5241","76.9366"
"Gaya Airport","32.1651001","76.26339722","DHM","","Bhiwandi","19.2967","73.0631"
"Jabalpur Airport","31.0818","77.068001","SLV","","Saharanpur","29.964","77.546"
"Dehradun Airport","10.82369995","72.1760025","AGX","","Warangal","17.9689","79.5941"
"Gandhinagar Airport","22.256701","84.814598","RRK","","Shiliguri","26.71","88.43"
"Porbandar Airport","30.27009964","74.75579834","BUP","","Salem","11.65","78.15"
"Silchar Airport","27.15579987","77.96089935","AGR","","Kochi","9.9312","76.2673"
"Diu Airport","15.16279984","76.88279724","BEP","","Dhulia","20.8997","74.7697"
"Hubli Airport","22.8132","86.1688","IXW","","Gorakhpur","26.7637","83.4039"
"Keshod Airport","25.16020012","75.84559631","KTU","","Guntur","16.3008","80.4428"
"Kangra Airport","32.233611","75.634444","IXP","","Bhangar","22.58","88.42"
"Shimla Airport","11.968","79.812","PNY","","Narela","28.8527","77.0929"
"Bidar Air Force Station","26.404301","80.410103","KNU","","Karaikandi","24.8309","92.6143"
"Agatti Airport","24.503401","81.220299","REW","","Bhavnagar","21.76","72.15"
"Rourkela Airport","16.66469955","74.28939819","KLH","","Noida","28.57","77.32"
"Bhatinda Air Force Station","24.5623","80.854897","TNI","","Bhilai","21.21","81.38"
"Agra Airport","25.88389969","93.77110291","DMU","","Mangalore","12.8681","74.8425"
"Bellary Airport","26.29330063","78.22779846","GWL","","Bihta","25.5619","84.87"
"Dundigul Air Force Academy","27.2954998","94.09760284","IXI","","Cuttack","20.5236","85.7881"
"Sonari Airport","25.70359993","91.97869873","SHL","","Salimpur","26.3","83.9167"
"Kota Airport","9.152509689","92.81960297","CBD","","Raurkela","22.2492","84.8828"
"Pathankot Airport","28.1753006","94.80200195","IXV","","Tumkur","13.34","77.1"
"Pondicherry Airport","23.83399963","86.4253006","DBD","","Tenkasi","8.9564","77.3152"
"Willingdon Island Air Base","26.11910057","85.31369781","MZU","","Dehra Dun","30.345","78.029"
"Nagarjuna Sagar Airport","20.43440056","72.84320068","NMB","","Kottayam","9.5916","76.5222"
"Bokaro Airport","29.17939949","75.75530243","HSS","","Durgapur","23.55","87.32"
"Bhilai Airport","17.013599","73.327797","RTC","","Asansol","23.68","86.99"
"Raedhanpur Airport","24.654699","77.347298","GUX","","Bokaro Steel City","23.67","86.15"
"Bhiwani Airport","30.85470009","75.95259857","LUH","","Kolhapur","16.6917","74.2333"
"Nuagaon Airport","26.88870049","70.86499786","JSA","","Nava Raipur","21.161","81.787"
"Patiala Airport","24.30820084","92.00720215","IXH","","Ajmer","26.4499","74.6399"
"Uttarlai Airport","20.698999","77.058601","AKD","","Nanded","19.15","77.3"
"Hakimpet Airport","28.42210007","79.45079803","BEK","","Amravati","20.9258","77.7647"
"Fursatganj Airport","28.07060051","73.2071991","BKB","","Nellore","14.45","79.99"
"Kanpur Airport","21.9884","82.111","PAB","","Dispur","26.1397","91.7925"
"Rewa Airport, Chorhata, REWA","26.73970032","83.4496994","GOP","","Gulbarga","17.329","76.825"
"Coimbatore Air Force Station","14.51","78.772778","CDP","","Bikaner","28.0181","73.3169"
"Yelahanka Air Force Station","23.1127","70.100304","IXY","","Nagercoil","8.175","77.4306"
"Deoghar Airstrip","29.03339958","79.47370148","PGH","","Agartala","23.8314","91.2869"
"kanha","11.7833004","78.06559753","SXV","","Loni","28.75","77.28"
"Barbil Aerodrome (JSPL)","27.588301","93.828102","ZER","","Ujjain","23.17","75.79"
"KEONJHAR AIRPORT","26.13969994","89.91000366","RUP","","Bhilwara","25.35","74.63"
"Nadirgul Airport","24.13170052","91.81420135","IXQ","","Jhansi","25.4486","78.5696"
"GAUCHER","31.4338","75.758797","AIP","","Ulhasnagar","19.22","73.15"
"Amreli Airstrip","23.84059906","92.61969757","AJL","","Vellore","12.9165","79.1325"
"Bhagalpur Airport","25.26169968","88.79560089","RGH","","Jammu","32.73","74.87"
"Kopal,Hospet Airport","19.07430077","82.03679657","JGB","","Purnea","25.778","87.476"
"Koppal Aerodrome","18.87999916","82.55200195","PYB","","Belgaum","15.85","74.5"
"Shibpur Airstrip","24.061899","91.603897","IXN","","Malegaon","20.55","74.55"
"Kolhapur Airport","18.411501","76.464699","LTU","","Jamnagar","22.47","70.07"
"Satna Airport","25.033001","88.133003","LDA","","Bardoli","21.12","73.12"
"Tuirial Airfield","12.23","76.655833","MYQ","","Gaya","24.75","85.01"
"Dimapur Airport","19.18330002","77.3167038","NDC","","Ambattur","13.1143","80.1548"
"Gwalior Airport","11.61295605","79.5273819","NVY","","Jalgaon","21.004","75.568"
"Kanpur Civil Airport","28.06609917","95.33560181","IXT","","Chhatarpur","24.55","79.3527"
"North Lakhimpur Airport","33.37789917","74.31520081","RJI","","Kurnool","15.83","78.05"
"Shillong Airport","17.62800026","75.93479919","SSE","","Udaipur","24.58","73.68"
"Car Nicobar Air Force Station","27.94120026","96.13439941","TEI","","Mathura","27.4924","77.6737"
"Along Airport","10.72239971","79.10160065","TJV","","Sangli","16.853","74.583"
"Dhanbad Airport","8.724241","78.025803","TCR","","Davangere","14.4666","75.9242"
"Muzaffarpur Airport","17.9144","79.602203","WGC","","Calicut","11.2588","75.7804"
"Daman Airport","26.33049965","89.46720123","COH","","Baramati","18.15","74.58"
"Safdarjung Airport","15.17496667","76.63494722","VDY","","Mothihari","26.65","84.9167"
"Hissar Airport","26.601473","74.814147","KQH","","Akola","20.7","77"
"Sirsa Air Force Station","27.98550034","94.22280121","DEP","","Bettiah","26.8014","84.5028"
"Udhampur Air Force Station","23.6225","87.243","RDP","","Shorapur","16.52","76.76"
"Ratnagiri Airport","11.918614","75.547211","CNN","","Tinnevelly","8.7136","77.7567"
"Guna Airport","18.281","76.0574","OMN","","Bellary","15.1","76.9167"
"Ludhiana Airport","18.701","79.3923","RMD","","Bhagalpur","25.25","87"
"Jaisalmer Airport","18.701","79.3923","RMD","","Padiala","30.802","76.593"
"Kailashahar Airport","19.688611","74.378889","SAG","","Delhi Cantonment","28.6","77.1333"
"Panagarh Air Force Station","","","","","Salt Lake City","22.61","88.4"
"Akola Airport","","","","","Etawa","24.18","78.2"
"Bareilly Air Force Station","","","","","Sonipat","28.99","77.022"
"Nal Airport","","","","","Quilon","8.8932","76.6141"
"Bilaspur Airport","","","","","Mulangodi","9","76.6167"
"Gorakhpur Airport","","","","","Munro Turuttu","9","76.6167"
"Hashimara Air Force Station","","","","","Bairia","25.7583","84.1489"
"Kadapa Airport","","","","","Bhatpara","22.87","88.41"
"Kandla Airport","","","","","Kukatpalli","17.4849","78.4138"
"Pantnagar Airport","","","","","Sirur","18.83","74.38"
"Salem Airport","","","","","Kakinada","16.9661","82.255"
"Ziro Airport","","","","","Panihati","22.69","88.37"
"Campbell Bay Airport","","","","","Rohtak","28.8909","76.5796"
"Machuka Advanced Landing Ground","","","","","Maler Kotla","30.5167","75.8833"
"Vijaynagar Advanced Landing Ground","","","","","Kolga","22.35","82.68"
"Sookerating Airport","","","","","Korba","22.3458","82.6963"
"Rupsi India Airport","","","","","Sikar","27.62","75.15"
"Giridih Airport","","","","","Karur","10.9601","78.0766"
"Daltonganj Airport","","","","","Sasaram","24.95","84.03"
"Purnea Airport","","","","","Karnal","29.686","76.989"
"Raxaul Airport","","","","","Brahmapur","19.315","84.7941"
"Deesa Airport","","","","","Chanda","19.95","79.3"
"Bhilwara Airport","","","","","Ahmadnagar","19.08","74.73"
"Karnal Airport","","","","","Dasarhalli","13.0465","77.513"
"Kalka Airport","","","","","Shahjanpur","27.88","79.91"
"Chakulia Airport","","","","","Alamadi","13.1097","80.0972"
"Thoise Airport","","","","","Avadi","13.1147","80.1098"
"Kargil Airport","","","","","Khanapur","15.6394","74.5083"
"Fukche Advanced Landing Ground","","","","","Hosur","12.7409","77.8253"
"Awantipur Air Force Station","","","","","Cuddapah","14.47","78.82"
"Daulat Beg Oldi Advanced Landing Ground","","","","","Rajahmundry","16.98","81.78"
"Chanda Airport","","","","","Alwar","27.5498","76.6355"
"Karad Airport","","","","","Sambalpur","21.47","83.97"
"Jalgaon Airport","","","","","Muzaffarpur","26.1225","85.3906"
"Dhulia Airport","","","","","Kamarhati","22.6686","88.3704"
"Birlagram Airport","","","","","Campiernagar","27.029","83.2668"
"Sidhi Airport","","","","","Bijapur","16.83","75.71"
"Dhana Airport","","","","","Tharad","24.3926","71.6248"
"Amla Airport","","","","","Ratnagiri","16.9944","73.3"
"Nimach Airport","","","","","Rampur","28.8","79"
"Burhar Airport","","","","","Shimoga","13.9333","75.5667"
"Ratlam Airport","","","","","Kashipur","29.22","78.95"
"Thuniabhand Airport","","","","","Junagadh","21.5222","70.4579"
"Band Tal Airport","","","","","Hapur","28.7309","77.7757"
"Cuttack Airport","","","","","Trichur","10.5276","76.2144"
"Jharsuguda Airport","","","","","Barddhaman","23.2333","87.8667"
"Utkela Airport","","","","","Panvel","18.9944","73.1139"
"Jallowal Airport","","","","","Nizamabad","18.672","78.094"
"Halwara Air Force Station","","","","","Parbhani","19.27","76.78"
"Ondwa Airport","","","","","Hisar","29.15","75.7"
"Phalodi Airport","","","","","Fatehpur","27.98","74.95"
"Sirohi Airport","","","","","Oulgaret","11.957","79.7737"
"Banswara Airport","","","","","Ingraj Bazar","25.0119","88.1433"
"Abu Road Airport","","","","","Bada Barabil","22.12","85.4"
"Suratgarh New Airport","","","","","Dod Ballapur","13.292","77.543"
"Jhunjhunu Airport","","","","","Bihar","25.197","85.518"
"Pilani New Airport","","","","","Darbhanga","26.17","85.9"
"Nagaur Airport","","","","","Sikandarabad","28.4512","77.6955"
"Kovilpatti Airport","","","","","Panipat","29.3875","76.97"
"Hosur Airport","","","","","Aizawl","23.7272","92.7178"
"Arkonam Airport","","","","","Bali","22.65","88.34"
"Kamalpur Airport","","","","","Palni","10.45","77.5161"
"Muirpur Airport","","","","","Surajgarha","25.25","86.23"
"Meerut Sw Airport","","","","","Karimnagar","18.4386","79.1288"
"Bharkot Airport","","","","","Dewas","22.96","76.06"
"Akbarpur Airport","","","","","Hugli","22.9","88.39"
"Pithorgarh Airport","","","","","Chunchura","22.9","88.39"
"Hindon Air Force Station","","","","","Sonpur","25.7","85.18"
"Jhansi Airport","","","","","Ichalkaranji","16.7","74.47"
"Sarsawa Air Force Station","","","","","Tirupati","13.65","79.42"
"Burnpur Airport","","","","","Bhatinda","30.23","74.9519"
"Adampur Airport","","","","","Jalna","19.8333","75.8833"
"Lengpui Airport","","","","","Satna","24.6005","80.8322"
"Balurghat Airport","","","","","Sannai","24.1582","80.751"
"Barrackpore Air Force Station","","","","","Mau","25.9417","83.5611"
"Behala Airport","","","","","Barasat","22.72","88.48"
"Tambaram Air Force Station","","","","","Farrukhabad","27.39","79.581"
"Chabua Air Force Station","","","","","Saugor","23.83","78.71"
"Dunakonda Airport","","","","","Ratlam","23.334","75.037"
"Jagdalpur Airport","","","","","Chopda","21.25","75.3"
"Jeypore Airport","","","","","Handwara","34.3997","74.2817"
"IIT Kanpur Airport","","","","","Drug","21.19","81.28"
"Khowai Airport","","","","","Anantapur","14.68","77.599"
"Lalitpur Airport","","","","","Imphal","24.8074","93.9384"
"Murod Kond Airport","","","","","Jagdalpur","19.18","81.92"
"Bakshi Ka Talab Air Force Station","","","","","Arrah","25.5514","84.6603"
"Malda Airport","","","","","Etawah","26.77","79.03"
"Mysore Airport","","","","","Malkajgiri","17.4519","78.5362"
